,t,E_init,E_PI,N_SP,E_ref,E_bc,E_tot,E_rel
1.0,0.0,0.0012797259259968996,0.0,0.0,0.0011656770948320627,0.0,0.0012797259259968996,1.097839117050171
2.0,0.05000000074505806,0.0012797259259968996,0.0022927771788090467,1.0,0.0007687045144848526,0.0,0.0035725031048059464,4.647433280944824
3.0,0.10000000149011612,0.0012797259259968996,0.003987942822277546,1.0,0.0005077380337752402,0.0,0.005267668515443802,10.374775886535645
4.0,0.15000000596046448,0.0012797259259968996,0.0048675620928406715,2.0,0.0003266931453254074,0.0,0.0061472877860069275,18.816701889038086
5.0,0.20000000298023224,0.0012797259259968996,0.00589284673333168,2.0,0.00022577782510779798,0.0,0.007172572426497936,31.76827621459961
6.0,0.25,0.0012797259259968996,0.006887000519782305,2.0,0.0002050391340162605,0.0,0.008166726678609848,39.83008575439453
7.0,0.30000001192092896,0.0012797259259968996,0.007879311218857765,2.0,0.00022988482669461519,0.0,0.009159036912024021,39.84185028076172
8.0,0.3499999940395355,0.0012797259259968996,0.008200766518712044,3.0,0.00025377620477229357,0.0,0.0094804922118783,37.357688903808594
9.0,0.4000000059604645,0.0012797259259968996,0.00989476777613163,2.0,0.0002531230275053531,0.0,0.011174493469297886,44.14649200439453
10.0,0.44999998807907104,0.0012797259259968996,0.009875155054032803,3.0,0.0002243963972432539,0.0,0.011154880747199059,49.71060562133789
11.0,0.5,0.0012797259259968996,0.01070269476622343,3.0,0.0001824556093197316,0.0,0.011982420459389687,65.6730728149414
12.0,0.550000011920929,0.0012797259259968996,0.011524743400514126,3.0,0.00016080899513326585,0.0,0.012804469093680382,79.62532806396484
13.0,0.6000000238418579,0.0012797259259968996,0.01234192680567503,3.0,0.00017324183136224747,0.0,0.013621652498841286,78.62796783447266
14.0,0.6499999761581421,0.0012797259259968996,0.013154723681509495,3.0,0.00020517395751085132,0.0,0.01443444937467575,70.35224914550781
15.0,0.699999988079071,0.0012797259259968996,0.01185607723891735,19.0,0.0002371112786931917,0.0,0.013135802932083607,55.39931869506836
16.0,0.75,0.0012797259259968996,0.013789210468530655,4.0,0.00024873315123841166,0.0,0.01506893616169691,60.582740783691406
17.0,0.800000011920929,0.0012797259259968996,0.01449304074048996,4.0,0.0002291442797286436,0.0,0.01577276736497879,68.83334350585938
18.0,0.8500000238418579,0.0012797259259968996,0.014240290969610214,6.0,0.00018008727056439966,0.0,0.01552001666277647,86.18053436279297
19.0,0.8999999761581421,0.0012797259259968996,0.01597524993121624,4.0,0.00014421457308344543,0.0,0.01725497655570507,119.64794158935547
20.0,0.949999988079071,0.0012797259259968996,0.01678394339978695,4.0,0.0002035988145507872,0.0,0.01806367002427578,88.72188568115234
21.0,1.0,0.0012797259259968996,0.016788428649306297,5.0,0.00037244215491227806,0.0,0.018068155273795128,48.51264953613281
